24,netCDF,3 months,Maybe (sample from other project),Maybe,JoeCu,WaterProof,,WaterProof,PAM,PAM maintenance vessel,MPP up to 7 parameters with 1 sonde ,Included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,netCDF,3 months,No sample,No,JoeCu,WaterProof,fish,WaterProof,PAM VEMCO,PAM frames,Telemetry (acoustic recorder) - sandwaves ( sound/ ping recorder),Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,JoeCu,WMR/ WaterProof,benthos,WMR/ WaterProof,ROV,ROV,Subsea transponder USBL gps/ tilt/ tide/ height/ depth,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Maybe (sample from other project),,JoeCu,WE,benthos,WMR,ROV,ROV,Video/ still? - Sabellaria,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Maybe (sample from other project),,JoeCu,WE,benthos,WMR,ROV,ROV,Video/ still? - sandwaves T-1 T12,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,JoeCu,WE,benthos,WMR,ROV,ROV,Video/ still? - sandwaves T1 T3 T5,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Vector,,Needs further discussion,,JoeCu,Fugro,fish,WE,Sonar,side scan sonar,Hummingbird sonar (Sabellaria),Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,netCDF,3 months,No sample,,JoeCu,WaterProof,"fish, benthos",WaterProof,SOV,vertical profile,MPP up to 7 parameters with 1 sonde ,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,To be decided,,Yes (sample from other project),Yes,JoeCu,WE,fish,WE,Survey,Baited cams,camera's - sandwaves,Excluded,,,,,,,Waardenburg,,Waardenburg,Waardenburg,,Waardenburg,,,Waardenburg,,,,,,,,,,,,,,,Maybe,Maybe,Yes,Maybe,No
47,,,,,JoeCu,WMR/ WaterProof,benthos,WMR/ WaterProof,Survey,Baited cams,Subsea transponder USBL,Excluded,,,,,,,,,,Ecowende,,Ecowende,,,,,,,,,,,,,,,,,,,,,,
49,,,,,JoeCu,WMR/ WaterProof,benthos,WMR/ WaterProof,Survey,Bese elements,Subsea transponder USBL,Excluded,,,,,,,,,,Waardenburg,,Waardenburg,,,,,,,,,,,,,,,,,,,,,,
51,To be decided,,,,JoeCu,WMR,benthos,WE,Survey,Boxcores,boxcores,Included,,,,,,,,,,Waardenburg,,Waardenburg,,,,,,,,,,,,,,,,,,,,,,
52,,,,,JoeCu,WMR/ WaterProof,benthos,WMR/ WaterProof,Survey,Boxcores,Subsea transponder USBL,Excluded,,,,,,,,,,Waardenburg,,Waardenburg,,,,,,,,,,,,,,,,,,,,,,
53,,,Yes,Yes,NieHe,HiDef,bird,Ecowende,Survey,Drone,camera's on drones (schedule to be defined) DAS,Included,,,,,,,Ecowende,,Ecowende,Ecowende,,Ecowende,,,,,,Okotber - March,,,,,,,,,,,,Maybe,No,No,No,Yes
56,,,No sample,No,JoeCu,WE,"benthos, fish",WE,Survey,eDNA,eDNA sample kit - sandwaves T-1 T12,Extended Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,No sample,No,JoeCu,WE,"benthos, fish",WE,Survey,eDNA,eDNA sample kit - sandwaves T1 T3 T5,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,Yes,Yes,NieHe,HiDef,bird,WE,Survey,Plane,camera's on plane DAS,Included,,,,,,,Waardenburg,,Waardenburg,Waardenburg,,Waardenburg,,,Waardenburg,,,all,,,,,,,,,,,,Maybe,No,No,No,Yes
67,To be decided,,,,JoeCu,WE,"benthos, fish",WE,Survey,Triple D dredge,Triple D dredge T-1 T12,Extended Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,Yes (sample from other project),Yes,NieHe,WE,bird,WE,Survey,Visual counts from ship,Tablet,Extended Scope,UUID,,,Visual counts birds,visual_ship_survey 20240918,,Waardenburg,hkw@waardenburg.eco,Waardenburg,Waardenburg,hkw@waardenburg.eco,Waardenburg,Waardenburg,hkw@waardenburg.eco,Waardenburg,,,Okotber - March, 18/09/2024 16:04,,,csv,,,birds,"polygon(7.5 58.0, 7.6 59.0, 7.5 59.0, 7.6 58.0)",7.5 58.0,,10MB,Maybe,No,No,No,Yes
69,,,Yes (sample from other project),Yes,NieHe,WE,bird,WE,Survey,Visual counts from WTG,Tablet,Excluded,UUID,,,Visual counts birds,visual_WTG_survey 20240918,,Waardenburg,hkw@waardenburg.eco,Waardenburg,Waardenburg,hkw@waardenburg.eco,Waardenburg,Waardenburg,hkw@waardenburg.eco,Waardenburg,,,all, 18/09/2024 16:04,,,csv,,,birds,"polygon(7.5 58.0, 7.6 59.0, 7.5 59.0, 7.6 58.0)",7.5 58.0,,10MB,Maybe,No,No,No,Yes
73,Excel ,,Yes (sample from other project),Yes,AlrDr,Tennet/ Ecowende,bat,WE,Tennet platform,acoustic data,batdetector on TenneT platform,Extended Scope,,,,,,,,,,,,,,,,,,all,,,,,,,,,,,,Maybe,No,No,Maybe,No
74,API,n/a,Sample,Exploration,AlrDr + NieHe,WaterProof,"bird, bat",WaterProof,Tennet platform,Motus,antennas,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,csv,,Yes (sample from other project),No,NieHe,RobinRadar,"bird, bat",RWS,Tennet platform,Radar,Radar on Tennet platform (RWS),Extended Scope,,,,,,,,,,,,,,,,,,all,,,,,,,,,,,,No,No,No,No,No
76,,,,,AlrDr,Tennet/Ecowende,"bird, bat",RWS,Tennet platform,weatherstation on TenneT platform,"precipitation, air temperature",Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,JoeCu,WMR/ WaterProof,benthos,WMR/ WaterProof,VEMCO,Subsea transponder USBL,Subsea transponder USBL,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,csv,live,?,Yes,?,Rijkswaterstaat,?,Rijkswaterstaat MIVSP,?,Various oceanic sensors,Various oceanic sensors,,?,?,Oceanic data HKWA,Wave data from HKW alpha platform,LMW_HKWA_XXXX_hhmm.hy3m,lmw-ftp.lmw.rws.nl,Rijkswaterstaat,MIVSP-Engagement@rws.nl,Rijkswaterstaat MIVSP,Martijn van Dijk,martijn.van.dijk@rws.nl,Rijkswaterstaat MIVSP,Rijkswaterstaat MIVSP,-,Rijkswaterstaat MIVSP,?,?,?,per file,"live, every 10m",per file,csv (.hy3m),per file,per file,?,HKWA platform,HKWA platform,"RWS allows Ecowende to share the data covered in this agreement with Ecowende affiliates   (other than third-parties), and no additional request for consent is required. 
To share the data with other third parties, Ecowende must first seek permission for such delivery from the engagement manager . ",500KB/day,"To check, see license","To check, see license","To check, see license","To check, see license","To check, see license"
102,csv,live,?,Yes,?,Rijkswaterstaat,?,Rijkswaterstaat MIVSP,?,Various weather sensors,Various weather sensors,,?,?,Weather data HKWA,Weather data from HKW alpha platform both in avg per 10 min or live/raw every approx 15 sec,HKWA_Wind10_1288@Yyyyy_Mmm_Dmm,lmw-ftp.lmw.rws.nl,Rijkswaterstaat,MIVSP-Engagement@rws.nl,Rijkswaterstaat MIVSP,Martijn van Dijk,martijn.van.dijk@rws.nl,Rijkswaterstaat MIVSP,Rijkswaterstaat MIVSP,-,Rijkswaterstaat MIVSP,?,?,?,per file,"live, every 15s or 10m average",per file,"csv, zph",per file,per file,?,HKWA platform,HKWA platform,"RWS allows Ecowende to share the data covered in this agreement with Ecowende affiliates   (other than third-parties), and no additional request for consent is required. 
To share the data with other third parties, Ecowende must first seek permission for such delivery from the engagement manager . ","average: 1MB/day
raw: 12MB/day","To check, see license","To check, see license","To check, see license","To check, see license","To check, see license"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
